                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2321,                 1.4861,                 1.2525,                0.67689,                0.51276,                0.60866,                0.45036,                 1.0878,                 1.1245,                  1.128,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1786,                 1.4169,                  1.265,                0.65026,                0.56084,                0.62588,                 0.4643,                 1.0808,                 1.0909,                 1.1242,             1.7261e-05,             1.7261e-05,             1.7261e-05
                      3,                 1.1308,                 1.3448,                 1.2419,                0.68505,                0.55808,                0.63527,                0.47129,                 1.0736,                 1.0727,                 1.1195,             2.5564e-05,             2.5564e-05,             2.5564e-05
                      4,                 1.1643,                 1.3327,                 1.2249,                0.68624,                0.57697,                0.65077,                0.48366,                 1.0569,                  1.044,                 1.1089,             3.3238e-05,             3.3238e-05,             3.3238e-05
                      5,                 1.1148,                 1.3013,                 1.2034,                0.67357,                0.60506,                0.66799,                0.49911,                 1.0453,                 1.0238,                 1.1005,             4.0284e-05,             4.0284e-05,             4.0284e-05
                      6,                 1.1592,                  1.256,                 1.1966,                0.68037,                0.62313,                0.68241,                0.51191,                  1.037,                 1.0007,                 1.0958,             4.6702e-05,             4.6702e-05,             4.6702e-05
                      7,                 1.1091,                 1.1692,                 1.1685,                0.74446,                0.62368,                0.69835,                0.52092,                 1.0334,                0.97745,                 1.0952,             5.2491e-05,             5.2491e-05,             5.2491e-05
                      8,                 1.1567,                 1.2096,                 1.2279,                0.75237,                 0.6298,                0.70147,                0.52315,                 1.0328,                0.96122,                 1.0931,             5.7652e-05,             5.7652e-05,             5.7652e-05
                      9,                  1.132,                 1.1592,                 1.1923,                0.73612,                0.65094,                0.70999,                0.53317,                 1.0266,                0.92779,                 1.0883,             6.2185e-05,             6.2185e-05,             6.2185e-05
                     10,                 1.1033,                 1.1869,                 1.1691,                0.74526,                0.66094,                0.72266,                0.54485,                   1.02,                0.90882,                 1.0838,             6.6089e-05,             6.6089e-05,             6.6089e-05
                     11,                 1.0541,                 1.1056,                 1.1465,                0.73491,                0.68163,                0.74306,                 0.5641,                 1.0037,                0.87731,                 1.0739,             6.9365e-05,             6.9365e-05,             6.9365e-05
                     12,                 1.1096,                 1.1168,                 1.1788,                0.74235,                0.68767,                0.74581,                0.56845,                0.99595,                0.85948,                 1.0694,             7.2013e-05,             7.2013e-05,             7.2013e-05
                     13,                 1.0599,                 1.0842,                 1.1522,                 0.7633,                0.68705,                0.75281,                0.57625,                0.98968,                0.84306,                 1.0637,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     14,                 1.0498,                 1.0494,                  1.147,                0.76803,                0.69674,                0.76902,                0.59265,                0.98403,                0.83353,                 1.0592,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     15,                 1.0509,                 1.0597,                 1.1515,                 0.7986,                0.68539,                0.77764,                0.60082,                0.97877,                0.82044,                 1.0553,             6.7949e-05,             6.7949e-05,             6.7949e-05
                     16,                  1.021,                 1.0412,                 1.1457,                0.81359,                0.68534,                 0.7757,                0.60593,                0.97413,                0.80976,                 1.0506,             6.4022e-05,             6.4022e-05,             6.4022e-05
                     17,                 1.0203,                 1.0271,                 1.1314,                 0.8012,                0.69337,                0.78074,                0.60609,                0.96542,                0.79847,                 1.0449,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     18,                  0.953,                0.97769,                 1.1178,                0.78723,                0.69944,                 0.7876,                0.61122,                0.96191,                0.78724,                 1.0436,             5.6168e-05,             5.6168e-05,             5.6168e-05
                     19,                 1.0347,                0.99054,                 1.1366,                0.80185,                0.71314,                0.79357,                0.61351,                0.95665,                0.77897,                 1.0401,             5.2241e-05,             5.2241e-05,             5.2241e-05
                     20,                 1.0773,                 1.0474,                 1.1597,                0.82592,                0.70765,                0.79857,                 0.6219,                0.94929,                0.76953,                 1.0352,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     21,                 1.0608,                   1.05,                 1.1456,                0.83463,                0.70671,                0.80127,                 0.6229,                 0.9504,                0.77013,                 1.0351,             4.4387e-05,             4.4387e-05,             4.4387e-05
                     22,                 1.0414,                  1.002,                 1.1156,                0.81928,                0.71088,                0.80277,                0.61922,                0.94883,                0.76746,                 1.0329,              4.046e-05,              4.046e-05,              4.046e-05
                     23,                 1.0708,                 1.0154,                 1.1558,                0.83119,                0.70787,                0.80629,                0.62143,                0.94976,                0.76801,                 1.0355,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     24,                 1.0377,                 0.9616,                 1.1158,                0.82112,                0.70881,                0.80033,                0.61962,                0.94783,                0.76646,                 1.0347,             3.2606e-05,             3.2606e-05,             3.2606e-05
                     25,                 1.0298,                0.94338,                 1.1009,                0.79711,                0.73371,                0.80739,                0.62622,                0.94484,                0.76364,                 1.0337,             2.8679e-05,             2.8679e-05,             2.8679e-05
                     26,                0.99015,                0.90241,                 1.0916,                0.80262,                0.73744,                0.80874,                0.62807,                0.94022,                 0.7608,                 1.0312,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     27,                 1.0057,                0.93844,                 1.0723,                0.79591,                 0.7408,                0.80927,                0.63138,                0.93464,                 0.7586,                 1.0285,             2.0825e-05,             2.0825e-05,             2.0825e-05
                     28,                0.99507,                0.89195,                 1.0962,                0.79467,                0.74037,                0.80966,                0.63394,                0.93009,                0.75538,                 1.0259,             1.6898e-05,             1.6898e-05,             1.6898e-05
                     29,                 1.0222,                0.89892,                 1.1027,                0.83053,                0.71716,                 0.8052,                0.63195,                0.92824,                0.75464,                 1.0261,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     30,                0.98008,                0.90294,                 1.0986,                0.83481,                0.72019,                0.80665,                0.63275,                0.92486,                0.75251,                 1.0245,              9.044e-06,              9.044e-06,              9.044e-06
